sku,title,description,category,material,origin_district,price_rwf,artisan_id,is_local
RW-BAS-0171,artisan sisal gift basket,Beautiful artisan sisal basket handwoven by skilled artisans in Nyarugenge using sisal.,basketry,sisal,Nyarugenge,14568,ART-532,True
RW-HOM-0172,artisan fabric throw pillow,"Unique artisan fabric home decor item, handmade in Nyagatare with fabric.",home-decor,fabric,Nyagatare,25145,ART-710,True
RW-JEW-0173,artisan silver ring set,"Elegant artisan silver jewellery piece, handcrafted by Gisenyi artisans from silver.",jewellery,silver,Gisenyi,17812,ART-165,True
RW-JEW-0174,artisan bone earrings,"Elegant artisan bone jewellery piece, handcrafted by Huye artisans from bone.",jewellery,bone,Huye,10134,ART-494,True
RW-HOM-0175,traditional fabric table mat,"Unique traditional fabric home decor item, handmade in Huye with fabric.",home-decor,fabric,Huye,43537,ART-490,True
RW-HOM-0176,artisan stone throw pillow,"Unique artisan stone home decor item, handmade in Kicukiro with stone.",home-decor,stone,Kicukiro,17952,ART-710,True
RW-HOM-0177,premium fabric vase,"Unique premium fabric home decor item, handmade in Rusizi with fabric.",home-decor,fabric,Rusizi,7179,ART-579,True
RW-APP-0178,modern traditional polyester robe,Handmade modern polyester apparel made from Musanze by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Musanze,19690,ART-641,True
RW-HOM-0179,handmade clay wall art,"Unique handmade clay home decor item, handmade in Huye with clay.",home-decor,clay,Huye,16192,ART-357,True
RW-JEW-0180,modern beads earrings,"Elegant modern beads jewellery piece, handcrafted by Rubavu artisans from beads.",jewellery,beads,Rubavu,29995,ART-666,True
RW-LEA-0181,handmade goatskin leather bag,"Premium handmade goatskin leather product, handcrafted in Gisenyi using traditional techniques.",leather,goatskin,Gisenyi,30494,ART-981,True
RW-LEA-0182,artisan cowhide leather jacket,"Premium artisan cowhide leather product, handcrafted in Gisenyi using traditional techniques.",leather,cowhide,Gisenyi,22103,ART-111,True
RW-JEW-0183,artisan wood ring set,"Elegant artisan wood jewellery piece, handcrafted by Rusizi artisans from wood.",jewellery,wood,Rusizi,5365,ART-796,True
RW-JEW-0184,premium bone ring set,"Elegant premium bone jewellery piece, handcrafted by Nyamirambo artisans from bone.",jewellery,bone,Nyamirambo,7203,ART-838,True
RW-APP-0185,modern kitenge apparel shirt,Handmade modern kitenge apparel made from Rubavu by artisans in kitenge. Perfect for casual and formal wear.,apparel,kitenge,Rubavu,18312,ART-217,True
RW-BAS-0186,traditional raffia gift basket,Beautiful traditional raffia basket handwoven by skilled artisans in Nyarugenge using raffia.,basketry,raffia,Nyarugenge,3651,ART-798,True
RW-JEW-0187,traditional wood bracelet,"Elegant traditional wood jewellery piece, handcrafted by Nyagatare artisans from wood.",jewellery,wood,Nyagatare,16459,ART-649,True
RW-HOM-0188,premium clay throw pillow,"Unique premium clay home decor item, handmade in Musanze with clay.",home-decor,clay,Musanze,39427,ART-868,True
RW-JEW-0189,traditional silver bracelet,"Elegant traditional silver jewellery piece, handcrafted by Musanze artisans from silver.",jewellery,silver,Musanze,10154,ART-373,True
RW-HOM-0190,premium wood table mat,"Unique premium wood home decor item, handmade in Nyagatare with wood.",home-decor,wood,Nyagatare,10222,ART-887,True
RW-BAS-0191,artisan banana-fibre wall decoration,Beautiful artisan banana-fibre basket handwoven by skilled artisans in Rusizi using banana-fibre.,basketry,banana-fibre,Rusizi,14738,ART-756,True
RW-LEA-0192,traditional goatskin leather bag,"Premium traditional goatskin leather product, handcrafted in Rusizi using traditional techniques.",leather,goatskin,Rusizi,23893,ART-448,True
RW-APP-0193,handmade silk trousers,Handmade handmade silk apparel made from Gisenyi by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Gisenyi,27040,ART-214,True
RW-LEA-0194,handmade genuine-leather leather wallet,"Premium handmade genuine-leather leather product, handcrafted in Huye using traditional techniques.",leather,genuine-leather,Huye,47299,ART-400,True
RW-APP-0195,traditional cotton dress,Handmade traditional cotton apparel made from Nyamirambo by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Nyamirambo,15526,ART-545,True
RW-APP-0196,premium traditional linen robe,Handmade premium linen apparel made from Nyamirambo by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Nyamirambo,24036,ART-261,True
RW-BAS-0197,traditional bamboo gift basket,Beautiful traditional bamboo basket handwoven by skilled artisans in Huye using bamboo.,basketry,bamboo,Huye,24171,ART-564,True
RW-BAS-0198,premium papyrus woven bowl,Beautiful premium papyrus basket handwoven by skilled artisans in Gisenyi using papyrus.,basketry,papyrus,Gisenyi,22733,ART-103,True
RW-BAS-0199,modern bamboo storage basket,Beautiful modern bamboo basket handwoven by skilled artisans in Nyamirambo using bamboo.,basketry,bamboo,Nyamirambo,9732,ART-839,True
RW-JEW-0200,premium silver necklace,"Elegant premium silver jewellery piece, handcrafted by Nyarugenge artisans from silver.",jewellery,silver,Nyarugenge,34404,ART-996,True
RW-HOM-0201,premium clay vase,"Unique premium clay home decor item, handmade in Nyarugenge with clay.",home-decor,clay,Nyarugenge,13740,ART-836,True
RW-HOM-0202,artisan clay candle holder,"Unique artisan clay home decor item, handmade in Gasabo with clay.",home-decor,clay,Gasabo,28336,ART-369,True
RW-BAS-0203,modern raffia storage basket,Beautiful modern raffia basket handwoven by skilled artisans in Rusizi using raffia.,basketry,raffia,Rusizi,21941,ART-612,True
RW-HOM-0204,modern fabric table mat,"Unique modern fabric home decor item, handmade in Musanze with fabric.",home-decor,fabric,Musanze,37956,ART-880,True
RW-LEA-0205,premium goatskin leather belt,"Premium premium goatskin leather product, handcrafted in Rusizi using traditional techniques.",leather,goatskin,Rusizi,26127,ART-282,True
RW-APP-0206,traditional polyester jacket,Handmade traditional polyester apparel made from Huye by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Huye,33660,ART-619,True
RW-HOM-0207,artisan wood throw pillow,"Unique artisan wood home decor item, handmade in Huye with wood.",home-decor,wood,Huye,42644,ART-208,True
RW-APP-0208,handmade cotton trousers,Handmade handmade cotton apparel made from Nyarugenge by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Nyarugenge,12381,ART-991,True
RW-HOM-0209,handmade clay candle holder,"Unique handmade clay home decor item, handmade in Huye with clay.",home-decor,clay,Huye,37025,ART-740,True
RW-APP-0210,handmade cotton jacket,Handmade handmade cotton apparel made from Nyagatare by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Nyagatare,16535,ART-405,True
RW-HOM-0211,traditional metal candle holder,"Unique traditional metal home decor item, handmade in Rubavu with metal.",home-decor,metal,Rubavu,44131,ART-961,True
RW-LEA-0212,handmade goatskin leather wallet,"Premium handmade goatskin leather product, handcrafted in Nyarugenge using traditional techniques.",leather,goatskin,Nyarugenge,15107,ART-754,True
RW-BAS-0213,premium sisal storage basket,Beautiful premium sisal basket handwoven by skilled artisans in Nyagatare using sisal.,basketry,sisal,Nyagatare,5444,ART-619,True
RW-BAS-0214,artisan papyrus storage basket,Beautiful artisan papyrus basket handwoven by skilled artisans in Gasabo using papyrus.,basketry,papyrus,Gasabo,12489,ART-723,True
RW-BAS-0215,traditional banana-fibre woven bowl,Beautiful traditional banana-fibre basket handwoven by skilled artisans in Nyagatare using banana-fibre.,basketry,banana-fibre,Nyagatare,8038,ART-303,True
RW-LEA-0216,premium goatskin leather wallet,"Premium premium goatskin leather product, handcrafted in Gisenyi using traditional techniques.",leather,goatskin,Gisenyi,59411,ART-256,True
RW-JEW-0217,traditional brass necklace,"Elegant traditional brass jewellery piece, handcrafted by Nyamirambo artisans from brass.",jewellery,brass,Nyamirambo,26718,ART-482,True
RW-BAS-0218,handmade raffia gift basket,Beautiful handmade raffia basket handwoven by skilled artisans in Nyagatare using raffia.,basketry,raffia,Nyagatare,6309,ART-880,True
RW-LEA-0219,modern cowhide leather bag,"Premium modern cowhide leather product, handcrafted in Kicukiro using traditional techniques.",leather,cowhide,Kicukiro,20838,ART-265,True
RW-APP-0220,artisan cotton jacket,Handmade artisan cotton apparel made from Nyagatare by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Nyagatare,8318,ART-652,True
RW-BAS-0221,artisan sisal storage basket,Beautiful artisan sisal basket handwoven by skilled artisans in Nyarugenge using sisal.,basketry,sisal,Nyarugenge,8075,ART-897,True
RW-HOM-0222,artisan wood wall art,"Unique artisan wood home decor item, handmade in Huye with wood.",home-decor,wood,Huye,39428,ART-643,True
RW-BAS-0223,premium bamboo wall decoration,Beautiful premium bamboo basket handwoven by skilled artisans in Kicukiro using bamboo.,basketry,bamboo,Kicukiro,24894,ART-100,True
RW-LEA-0224,artisan genuine-leather leather jacket,"Premium artisan genuine-leather leather product, handcrafted in Nyarugenge using traditional techniques.",leather,genuine-leather,Nyarugenge,44539,ART-713,True
RW-HOM-0225,handmade wood throw pillow,"Unique handmade wood home decor item, handmade in Gisenyi with wood.",home-decor,wood,Gisenyi,34897,ART-431,True
RW-LEA-0226,premium genuine-leather leather wallet,"Premium premium genuine-leather leather product, handcrafted in Musanze using traditional techniques.",leather,genuine-leather,Musanze,54047,ART-600,True
RW-BAS-0227,modern raffia basket,Beautiful modern raffia basket handwoven by skilled artisans in Huye using raffia.,basketry,raffia,Huye,21112,ART-119,True
RW-APP-0228,handmade kitenge jacket,Handmade handmade kitenge apparel made from Rusizi by artisans in kitenge. Perfect for casual and formal wear.,apparel,kitenge,Rusizi,5571,ART-214,True
RW-JEW-0229,modern bone anklet,"Elegant modern bone jewellery piece, handcrafted by Rusizi artisans from bone.",jewellery,bone,Rusizi,18567,ART-471,True
RW-LEA-0230,handmade genuine-leather leather wallet,"Premium handmade genuine-leather leather product, handcrafted in Kicukiro using traditional techniques.",leather,genuine-leather,Kicukiro,53598,ART-999,True
RW-JEW-0231,artisan wood necklace,"Elegant artisan wood jewellery piece, handcrafted by Kicukiro artisans from wood.",jewellery,wood,Kicukiro,7710,ART-951,True
RW-BAS-0232,handmade bamboo wall decoration,Beautiful handmade bamboo basket handwoven by skilled artisans in Kicukiro using bamboo.,basketry,bamboo,Kicukiro,3088,ART-926,True
RW-BAS-0233,traditional banana-fibre basket,Beautiful traditional banana-fibre basket handwoven by skilled artisans in Gisenyi using banana-fibre.,basketry,banana-fibre,Gisenyi,11539,ART-414,True
RW-HOM-0234,artisan stone vase,"Unique artisan stone home decor item, handmade in Gasabo with stone.",home-decor,stone,Gasabo,27375,ART-345,True
RW-APP-0235,handmade polyester trousers,Handmade handmade polyester apparel made from Nyarugenge by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Nyarugenge,18415,ART-159,True
RW-LEA-0236,handmade sheepskin leather bag,"Premium handmade sheepskin leather product, handcrafted in Nyamirambo using traditional techniques.",leather,sheepskin,Nyamirambo,69355,ART-346,True
RW-APP-0237,modern traditional cotton robe,Handmade modern cotton apparel made from Musanze by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Musanze,30421,ART-999,True
RW-LEA-0238,premium sheepskin leather belt,"Premium premium sheepskin leather product, handcrafted in Rubavu using traditional techniques.",leather,sheepskin,Rubavu,50980,ART-680,True
RW-JEW-0239,premium silver earrings,"Elegant premium silver jewellery piece, handcrafted by Rubavu artisans from silver.",jewellery,silver,Rubavu,39339,ART-180,True
RW-JEW-0240,traditional bone ring set,"Elegant traditional bone jewellery piece, handcrafted by Rusizi artisans from bone.",jewellery,bone,Rusizi,23867,ART-187,True
RW-HOM-0241,traditional wood wall art,"Unique traditional wood home decor item, handmade in Gasabo with wood.",home-decor,wood,Gasabo,20620,ART-849,True
RW-BAS-0242,premium sisal gift basket,Beautiful premium sisal basket handwoven by skilled artisans in Gisenyi using sisal.,basketry,sisal,Gisenyi,22572,ART-597,True
RW-APP-0243,premium traditional linen robe,Handmade premium linen apparel made from Rubavu by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Rubavu,15789,ART-935,True
RW-APP-0244,modern traditional cotton robe,Handmade modern cotton apparel made from Rubavu by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Rubavu,30769,ART-170,True
RW-LEA-0245,artisan goatskin leather shoes,"Premium artisan goatskin leather product, handcrafted in Nyarugenge using traditional techniques.",leather,goatskin,Nyarugenge,72199,ART-878,True
RW-HOM-0246,artisan clay vase,"Unique artisan clay home decor item, handmade in Rubavu with clay.",home-decor,clay,Rubavu,26646,ART-645,True
RW-JEW-0247,traditional silver earrings,"Elegant traditional silver jewellery piece, handcrafted by Rusizi artisans from silver.",jewellery,silver,Rusizi,47738,ART-884,True
RW-APP-0248,artisan traditional silk robe,Handmade artisan silk apparel made from Rusizi by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Rusizi,30967,ART-228,True
RW-BAS-0249,traditional sisal gift basket,Beautiful traditional sisal basket handwoven by skilled artisans in Gasabo using sisal.,basketry,sisal,Gasabo,12482,ART-231,True
RW-APP-0250,artisan traditional silk robe,Handmade artisan silk apparel made from Nyarugenge by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Nyarugenge,16314,ART-775,True
RW-HOM-0251,premium fabric candle holder,"Unique premium fabric home decor item, handmade in Nyagatare with fabric.",home-decor,fabric,Nyagatare,30813,ART-586,True
RW-JEW-0252,artisan silver necklace,"Elegant artisan silver jewellery piece, handcrafted by Musanze artisans from silver.",jewellery,silver,Musanze,23411,ART-662,True
RW-BAS-0253,premium banana-fibre basket,Beautiful premium banana-fibre basket handwoven by skilled artisans in Gisenyi using banana-fibre.,basketry,banana-fibre,Gisenyi,4489,ART-269,True
RW-LEA-0254,handmade goatskin leather wallet,"Premium handmade goatskin leather product, handcrafted in Nyamirambo using traditional techniques.",leather,goatskin,Nyamirambo,23522,ART-371,True
RW-LEA-0255,artisan cowhide leather jacket,"Premium artisan cowhide leather product, handcrafted in Rubavu using traditional techniques.",leather,cowhide,Rubavu,16539,ART-640,True
RW-LEA-0256,modern cowhide leather belt,"Premium modern cowhide leather product, handcrafted in Kicukiro using traditional techniques.",leather,cowhide,Kicukiro,63977,ART-993,True
RW-LEA-0257,traditional goatskin leather bag,"Premium traditional goatskin leather product, handcrafted in Nyarugenge using traditional techniques.",leather,goatskin,Nyarugenge,78416,ART-721,True
RW-BAS-0258,handmade banana-fibre basket,Beautiful handmade banana-fibre basket handwoven by skilled artisans in Gasabo using banana-fibre.,basketry,banana-fibre,Gasabo,8707,ART-533,True
RW-APP-0259,artisan cotton jacket,Handmade artisan cotton apparel made from Huye by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Huye,12342,ART-316,True
RW-BAS-0260,premium sisal basket,Beautiful premium sisal basket handwoven by skilled artisans in Nyagatare using sisal.,basketry,sisal,Nyagatare,8553,ART-652,True
RW-LEA-0261,handmade goatskin leather jacket,"Premium handmade goatskin leather product, handcrafted in Rusizi using traditional techniques.",leather,goatskin,Rusizi,65223,ART-873,True
RW-HOM-0262,handmade stone wall art,"Unique handmade stone home decor item, handmade in Rubavu with stone.",home-decor,stone,Rubavu,43213,ART-847,True
RW-BAS-0263,traditional bamboo storage basket,Beautiful traditional bamboo basket handwoven by skilled artisans in Kicukiro using bamboo.,basketry,bamboo,Kicukiro,7891,ART-806,True
RW-APP-0264,traditional silk trousers,Handmade traditional silk apparel made from Nyagatare by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Nyagatare,23502,ART-305,True
RW-BAS-0265,handmade sisal basket,Beautiful handmade sisal basket handwoven by skilled artisans in Kicukiro using sisal.,basketry,sisal,Kicukiro,12995,ART-830,True
RW-HOM-0266,premium metal table mat,"Unique premium metal home decor item, handmade in Nyamirambo with metal.",home-decor,metal,Nyamirambo,34934,ART-419,True
RW-HOM-0267,handmade stone table mat,"Unique handmade stone home decor item, handmade in Nyamirambo with stone.",home-decor,stone,Nyamirambo,11217,ART-508,True
RW-JEW-0268,handmade brass earrings,"Elegant handmade brass jewellery piece, handcrafted by Gasabo artisans from brass.",jewellery,brass,Gasabo,47369,ART-787,True
RW-LEA-0269,handmade sheepskin leather wallet,"Premium handmade sheepskin leather product, handcrafted in Nyagatare using traditional techniques.",leather,sheepskin,Nyagatare,40018,ART-765,True
RW-HOM-0270,traditional wood vase,"Unique traditional wood home decor item, handmade in Rubavu with wood.",home-decor,wood,Rubavu,22715,ART-482,True
RW-APP-0271,traditional traditional silk robe,Handmade traditional silk apparel made from Nyarugenge by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Nyarugenge,9022,ART-548,True
RW-HOM-0272,premium clay table mat,"Unique premium clay home decor item, handmade in Rusizi with clay.",home-decor,clay,Rusizi,27172,ART-629,True
RW-LEA-0273,handmade goatskin leather jacket,"Premium handmade goatskin leather product, handcrafted in Nyarugenge using traditional techniques.",leather,goatskin,Nyarugenge,17375,ART-562,True
RW-HOM-0274,traditional fabric candle holder,"Unique traditional fabric home decor item, handmade in Gasabo with fabric.",home-decor,fabric,Gasabo,26671,ART-223,True
RW-BAS-0275,premium papyrus storage basket,Beautiful premium papyrus basket handwoven by skilled artisans in Musanze using papyrus.,basketry,papyrus,Musanze,21160,ART-353,True
RW-APP-0276,traditional cotton apparel shirt,Handmade traditional cotton apparel made from Nyamirambo by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Nyamirambo,33567,ART-330,True
RW-HOM-0277,modern wood wall art,"Unique modern wood home decor item, handmade in Gisenyi with wood.",home-decor,wood,Gisenyi,21158,ART-165,True
RW-LEA-0278,handmade goatskin leather wallet,"Premium handmade goatskin leather product, handcrafted in Kicukiro using traditional techniques.",leather,goatskin,Kicukiro,16953,ART-446,True
RW-APP-0279,handmade cotton jacket,Handmade handmade cotton apparel made from Gisenyi by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Gisenyi,32462,ART-121,True
RW-BAS-0280,handmade banana-fibre gift basket,Beautiful handmade banana-fibre basket handwoven by skilled artisans in Gisenyi using banana-fibre.,basketry,banana-fibre,Gisenyi,14701,ART-702,True
RW-HOM-0281,premium wood table mat,"Unique premium wood home decor item, handmade in Gisenyi with wood.",home-decor,wood,Gisenyi,38042,ART-667,True
RW-BAS-0282,premium sisal gift basket,Beautiful premium sisal basket handwoven by skilled artisans in Nyagatare using sisal.,basketry,sisal,Nyagatare,23254,ART-335,True
RW-BAS-0283,artisan bamboo gift basket,Beautiful artisan bamboo basket handwoven by skilled artisans in Gasabo using bamboo.,basketry,bamboo,Gasabo,4256,ART-702,True
RW-JEW-0284,premium wood ring set,"Elegant premium wood jewellery piece, handcrafted by Gasabo artisans from wood.",jewellery,wood,Gasabo,40713,ART-325,True
RW-LEA-0285,artisan sheepskin leather shoes,"Premium artisan sheepskin leather product, handcrafted in Gisenyi using traditional techniques.",leather,sheepskin,Gisenyi,33668,ART-107,True
RW-APP-0286,handmade traditional silk robe,Handmade handmade silk apparel made from Musanze by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Musanze,13426,ART-172,True
RW-LEA-0287,artisan genuine-leather leather bag,"Premium artisan genuine-leather leather product, handcrafted in Huye using traditional techniques.",leather,genuine-leather,Huye,43213,ART-824,True
RW-JEW-0288,premium brass anklet,"Elegant premium brass jewellery piece, handcrafted by Huye artisans from brass.",jewellery,brass,Huye,46483,ART-746,True
RW-BAS-0289,artisan raffia gift basket,Beautiful artisan raffia basket handwoven by skilled artisans in Rusizi using raffia.,basketry,raffia,Rusizi,9663,ART-160,True
RW-BAS-0290,premium banana-fibre storage basket,Beautiful premium banana-fibre basket handwoven by skilled artisans in Gasabo using banana-fibre.,basketry,banana-fibre,Gasabo,23901,ART-334,True
RW-BAS-0291,traditional sisal wall decoration,Beautiful traditional sisal basket handwoven by skilled artisans in Kicukiro using sisal.,basketry,sisal,Kicukiro,24696,ART-169,True
RW-APP-0292,artisan linen jacket,Handmade artisan linen apparel made from Gisenyi by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Gisenyi,31774,ART-132,True
RW-LEA-0293,handmade goatskin leather shoes,"Premium handmade goatskin leather product, handcrafted in Gisenyi using traditional techniques.",leather,goatskin,Gisenyi,63812,ART-980,True
RW-LEA-0294,artisan genuine-leather leather shoes,"Premium artisan genuine-leather leather product, handcrafted in Nyamirambo using traditional techniques.",leather,genuine-leather,Nyamirambo,38811,ART-438,True
RW-LEA-0295,traditional genuine-leather leather shoes,"Premium traditional genuine-leather leather product, handcrafted in Huye using traditional techniques.",leather,genuine-leather,Huye,24718,ART-172,True
RW-BAS-0296,artisan bamboo basket,Beautiful artisan bamboo basket handwoven by skilled artisans in Rusizi using bamboo.,basketry,bamboo,Rusizi,12224,ART-626,True
RW-BAS-0297,premium raffia storage basket,Beautiful premium raffia basket handwoven by skilled artisans in Nyamirambo using raffia.,basketry,raffia,Nyamirambo,13216,ART-343,True
RW-APP-0298,artisan cotton apparel shirt,Handmade artisan cotton apparel made from Nyagatare by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Nyagatare,25024,ART-385,True
RW-JEW-0299,modern brass bracelet,"Elegant modern brass jewellery piece, handcrafted by Rubavu artisans from brass.",jewellery,brass,Rubavu,44930,ART-785,True
RW-APP-0300,premium polyester jacket,Handmade premium polyester apparel made from Kicukiro by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Kicukiro,30818,ART-597,True
RW-HOM-0301,artisan wood candle holder,"Unique artisan wood home decor item, handmade in Rubavu with wood.",home-decor,wood,Rubavu,40104,ART-319,True
RW-APP-0302,modern traditional kitenge robe,Handmade modern kitenge apparel made from Nyarugenge by artisans in kitenge. Perfect for casual and formal wear.,apparel,kitenge,Nyarugenge,25242,ART-652,True
RW-JEW-0303,artisan bone anklet,"Elegant artisan bone jewellery piece, handcrafted by Nyarugenge artisans from bone.",jewellery,bone,Nyarugenge,29568,ART-235,True
RW-HOM-0304,artisan fabric candle holder,"Unique artisan fabric home decor item, handmade in Musanze with fabric.",home-decor,fabric,Musanze,16694,ART-840,True
RW-APP-0305,traditional polyester dress,Handmade traditional polyester apparel made from Nyamirambo by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Nyamirambo,20584,ART-684,True
RW-JEW-0306,modern beads anklet,"Elegant modern beads jewellery piece, handcrafted by Musanze artisans from beads.",jewellery,beads,Musanze,23002,ART-690,True
RW-HOM-0307,modern clay throw pillow,"Unique modern clay home decor item, handmade in Rubavu with clay.",home-decor,clay,Rubavu,13705,ART-584,True
RW-HOM-0308,traditional clay table mat,"Unique traditional clay home decor item, handmade in Nyamirambo with clay.",home-decor,clay,Nyamirambo,27692,ART-348,True
RW-BAS-0309,traditional bamboo woven bowl,Beautiful traditional bamboo basket handwoven by skilled artisans in Rubavu using bamboo.,basketry,bamboo,Rubavu,20801,ART-903,True
RW-HOM-0310,modern stone throw pillow,"Unique modern stone home decor item, handmade in Gisenyi with stone.",home-decor,stone,Gisenyi,39046,ART-584,True
RW-APP-0311,handmade silk jacket,Handmade handmade silk apparel made from Rusizi by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Rusizi,11995,ART-926,True
RW-BAS-0312,artisan banana-fibre gift basket,Beautiful artisan banana-fibre basket handwoven by skilled artisans in Rubavu using banana-fibre.,basketry,banana-fibre,Rubavu,8284,ART-516,True
RW-JEW-0313,premium brass earrings,"Elegant premium brass jewellery piece, handcrafted by Nyarugenge artisans from brass.",jewellery,brass,Nyarugenge,25779,ART-294,True
RW-BAS-0314,modern papyrus woven bowl,Beautiful modern papyrus basket handwoven by skilled artisans in Nyarugenge using papyrus.,basketry,papyrus,Nyarugenge,20953,ART-196,True
RW-BAS-0315,traditional papyrus woven bowl,Beautiful traditional papyrus basket handwoven by skilled artisans in Kicukiro using papyrus.,basketry,papyrus,Kicukiro,3861,ART-199,True
RW-JEW-0316,artisan bone anklet,"Elegant artisan bone jewellery piece, handcrafted by Kicukiro artisans from bone.",jewellery,bone,Kicukiro,11224,ART-774,True
RW-JEW-0317,premium beads ring set,"Elegant premium beads jewellery piece, handcrafted by Kicukiro artisans from beads.",jewellery,beads,Kicukiro,25277,ART-541,True
RW-APP-0318,artisan cotton trousers,Handmade artisan cotton apparel made from Gisenyi by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Gisenyi,17684,ART-462,True
RW-HOM-0319,modern clay vase,"Unique modern clay home decor item, handmade in Gisenyi with clay.",home-decor,clay,Gisenyi,31041,ART-533,True
RW-APP-0320,modern polyester trousers,Handmade modern polyester apparel made from Musanze by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Musanze,13118,ART-520,True
RW-LEA-0321,traditional goatskin leather jacket,"Premium traditional goatskin leather product, handcrafted in Rubavu using traditional techniques.",leather,goatskin,Rubavu,61206,ART-578,True
RW-APP-0322,traditional linen dress,Handmade traditional linen apparel made from Kicukiro by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Kicukiro,21565,ART-984,True
RW-LEA-0323,handmade genuine-leather leather jacket,"Premium handmade genuine-leather leather product, handcrafted in Rubavu using traditional techniques.",leather,genuine-leather,Rubavu,15081,ART-846,True
RW-HOM-0324,artisan metal table mat,"Unique artisan metal home decor item, handmade in Gasabo with metal.",home-decor,metal,Gasabo,10617,ART-155,True
RW-APP-0325,handmade kitenge trousers,Handmade handmade kitenge apparel made from Gisenyi by artisans in kitenge. Perfect for casual and formal wear.,apparel,kitenge,Gisenyi,13909,ART-789,True
RW-BAS-0326,premium sisal gift basket,Beautiful premium sisal basket handwoven by skilled artisans in Nyarugenge using sisal.,basketry,sisal,Nyarugenge,17789,ART-769,True
RW-LEA-0327,modern sheepskin leather jacket,"Premium modern sheepskin leather product, handcrafted in Rusizi using traditional techniques.",leather,sheepskin,Rusizi,73896,ART-761,True
RW-BAS-0328,modern papyrus gift basket,Beautiful modern papyrus basket handwoven by skilled artisans in Nyamirambo using papyrus.,basketry,papyrus,Nyamirambo,19474,ART-200,True
RW-APP-0329,traditional kitenge apparel shirt,Handmade traditional kitenge apparel made from Huye by artisans in kitenge. Perfect for casual and formal wear.,apparel,kitenge,Huye,13022,ART-162,True
RW-HOM-0330,traditional wood candle holder,"Unique traditional wood home decor item, handmade in Gisenyi with wood.",home-decor,wood,Gisenyi,12833,ART-512,True
RW-LEA-0331,handmade sheepskin leather bag,"Premium handmade sheepskin leather product, handcrafted in Gasabo using traditional techniques.",leather,sheepskin,Gasabo,29735,ART-845,True
RW-BAS-0332,artisan raffia woven bowl,Beautiful artisan raffia basket handwoven by skilled artisans in Nyagatare using raffia.,basketry,raffia,Nyagatare,3766,ART-447,True
RW-JEW-0333,handmade brass necklace,"Elegant handmade brass jewellery piece, handcrafted by Nyagatare artisans from brass.",jewellery,brass,Nyagatare,6185,ART-919,True
RW-HOM-0334,modern stone wall art,"Unique modern stone home decor item, handmade in Nyarugenge with stone.",home-decor,stone,Nyarugenge,27479,ART-982,True
RW-APP-0335,traditional linen jacket,Handmade traditional linen apparel made from Gasabo by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Gasabo,21367,ART-211,True
RW-LEA-0336,artisan genuine-leather leather belt,"Premium artisan genuine-leather leather product, handcrafted in Nyamirambo using traditional techniques.",leather,genuine-leather,Nyamirambo,47771,ART-354,True
RW-JEW-0337,artisan brass bracelet,"Elegant artisan brass jewellery piece, handcrafted by Huye artisans from brass.",jewellery,brass,Huye,23521,ART-296,True
RW-LEA-0338,handmade genuine-leather leather shoes,"Premium handmade genuine-leather leather product, handcrafted in Rubavu using traditional techniques.",leather,genuine-leather,Rubavu,22729,ART-294,True
RW-LEA-0339,handmade cowhide leather jacket,"Premium handmade cowhide leather product, handcrafted in Kicukiro using traditional techniques.",leather,cowhide,Kicukiro,17855,ART-649,True
RW-LEA-0340,artisan genuine-leather leather jacket,"Premium artisan genuine-leather leather product, handcrafted in Rubavu using traditional techniques.",leather,genuine-leather,Rubavu,23918,ART-559,True
RW-APP-0341,modern traditional silk robe,Handmade modern silk apparel made from Huye by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Huye,10509,ART-243,True
